date,high,low,close
11/3/2024,39546745.62,38319076.65,38899670.55
11/4/2024,39130524.1,37439471.56,37904195.46
11/5/2024,38886351.62,37873210.25,38215973.84
11/6/2024,43188130.35,38191418.97,43188130.35
11/7/2024,45161214.07,42927572.48,44967483.58
11/8/2024,46376847.92,45174022.79,46366760.06
11/9/2024,49155159.49,46443762.28,49155159.49
11/10/2024,50726252.69,48696721.32,49744007.38
11/11/2024,52963485.96,49173347.82,52963485.96
11/12/2024,53619573.44,51181152.61,51798244.44
11/13/2024,52522087.7,49450763.85,50471107.79
11/14/2024,51351059.02,48820473.33,49405145.27
11/15/2024,49403010.48,47959440.24,49403010.48
11/16/2024,50877955.31,49156975.54,49960590.68
11/17/2024,50231542.43,48607188.06,48820244.55
11/18/2024,50300125.18,48450792.16,49970555.44
11/19/2024,50794655.78,49059696.61,49212826.62
11/20/2024,49684727.9,48551832.11,49014469.94
11/21/2024,53823926.12,48858302.57,53744158.82
11/22/2024,53986246.41,52330746.5,52846377.64
11/23/2024,55501845.66,53042130.97,54345069.34
11/24/2024,54778521.82,52704560.92,53628511.94
11/25/2024,55868879.76,52962783.72,54672794.31
11/26/2024,54911268.09,52360653.13,52839534.94
11/27/2024,58153709.01,52756865.97,58153709.01
11/28/2024,58207705.41,56098238.49,56993604.5
11/29/2024,57674834.74,56323255.14,56904879.84
11/30/2024,58774845.11,56721555.79,58651132.32
12/1/2024,59088915.88,58143936.91,59087263.22
12/2/2024,59255782.62,56890728.92,57763293.15
12/3/2024,58304308.65,56454553.55,57977683.49
12/4/2024,61582292.42,57865823.96,61295152.22
12/5/2024,62480035.81,60394888.13,60394888.13
12/6/2024,64559188.27,60152047.67,63962089.72
12/7/2024,63801863.2,63246908.43,63433055.58
12/8/2024,63642560.07,62491491.8,63642560.07
12/9/2024,63577427.11,58761851.5,58961013.43
12/10/2024,59749334.53,56203855.12,57893968.42
12/11/2024,61187520.11,56724686.21,61187520.11
12/12/2024,63449414.5,60735281.12,61946895.55
12/13/2024,63258435.85,61869847.86,62555990.94
12/14/2024,63026247.52,61458539.8,61956483.57
12/15/2024,62683182.69,61639079.76,62297496.87
12/16/2024,65404653.69,62337610.87,64556202.62
12/17/2024,64901295.54,62416237.4,62416237.4
12/18/2024,62750509.71,59713389.96,59713389.96
12/19/2024,60496231.17,55060217.82,56380369.02
